Day,OK,Defect1,Defect2,Defect3
2025-09-01,1,0,0,0
2025-09-02,0,1,0,0
2025-09-03,1,0,0,0
2025-09-04,0,0,1,0
2025-09-05,1,0,0,0
2025-09-06,0,0,0,1
2025-09-07,1,0,0,0
2025-09-08,0,1,0,0
2025-09-09,1,0,0,0
2025-09-10,0,0,1,0
2025-09-11,1,0,0,0
2025-09-12,0,0,0,1
2025-09-13,1,0,0,0
2025-09-14,0,1,0,0
2025-09-15,1,0,0,0
2025-09-16,0,0,1,0
2025-09-17,1,0,0,0
2025-09-18,0,0,0,1
2025-09-19,1,0,0,0
2025-09-20,0,1,0,0
2025-09-21,1,0,0,0
2025-09-22,0,0,1,0
2025-09-23,1,0,0,0
2025-09-24,0,0,0,1
2025-09-25,1,0,0,0
2025-09-26,0,1,0,0
2025-09-27,1,0,0,0
2025-09-28,0,0,1,0
2025-09-29,1,0,0,0
2025-09-30,0,0,0,1
