"ID tanggapan","Tanggal pengiriman","Halaman terakhir","Bahasa utama","Biji","Kode akses","Tanggal mulai","Tanggal tindakan terakhir","Alamat IP","Apakah suhu ruang server sesuai standar (kurang dari 25 derajat)?","Apakah suhu ruang server sesuai standar (kurang dari 25 derajat)? [Lainnya]","Apakah lampu ruangan server dapat menyala dengan baik?","Apakah lampu ruangan server dapat menyala dengan baik? [Lainnya]","Apakah kondisi APAR baik? (ada apar, belum expired, kondisi fisik baik)","Apakah kondisi APAR baik? (ada apar, belum expired, kondisi fisik baik) [Lainnya]","Apakah ruangan bersih? (lantai bersih, tidak ada sarang laba2, tidak ada genangan air / cairan,...)","Apakah ruangan bersih? (lantai bersih, tidak ada sarang laba2, tidak ada genangan air / cairan,...) [Lainnya]","Apakah AC dalam kondisi baik? (tidak ada tetesan air, timer menyala)","Apakah AC dalam kondisi baik? (tidak ada tetesan air, timer menyala) [Lainnya]","Apakah di ruangan tidak ada suara abnormal (kipas Server bunyi berisik, UPS bunyi berisik, dll)?","Apakah di ruangan tidak ada suara abnormal (kipas Server bunyi berisik, UPS bunyi berisik, dll)? [Lainnya]","Apakah Indikator UPS normal (tidak ada warning/error)?","Apakah Indikator UPS normal (tidak ada warning/error)? [Lainnya]","Apakah indikator setiap Server menyala hijau/normal?","Apakah indikator setiap Server menyala hijau/normal? [Lainnya]"
"1","","","id","1357256294","pandu","2024-07-29 11:51:03","2024-07-29 11:51:03","10.35.37.0","","","","","","","","","","","","","","","",""
"2","","","id","1320776499","pandu","2024-07-29 11:51:04","2024-07-29 11:51:04","10.35.37.0","","","","","","","","","","","","","","","",""
"3","","","id","1859130919","abimanyu","2024-07-29 14:13:32","2024-07-29 14:13:32","10.35.37.0","","","","","","","","","","","","","","","",""
"4","2024-07-29 14:20:29","8","id","960630974","abimanyu","2024-07-29 14:20:10","2024-07-29 14:20:29","10.35.37.0","Yes","","Yes","","Yes","","Yes","","Yes","","Yes","","Yes","","Yes",""
"5","2024-07-30 09:11:37","8","id","36440259","jundy","2024-07-30 09:03:54","2024-07-30 09:11:37","10.35.37.0","Lainnya","LCD suhu tidak menampilkan angka","Yes","","Yes","","Yes","","Yes","","Yes","","Yes","","Lainnya","Server abas dan nav menampilkan error power lost (hanya menggunakan 1 power)"
"6","","","id","506107263","yusup","2024-07-30 09:16:32","2024-07-30 09:16:32","10.35.37.0","","","","","","","","","","","","","","","",""
"7","2024-07-31 09:13:20","8","id","1311891803","yusup","2024-07-31 09:11:13","2024-07-31 09:13:20","10.35.37.0","Yes","","Yes","","Yes","","Yes","","Yes","","Yes","","Yes","","Yes",""
"8","2024-08-01 09:22:13","8","id","1150530077","abimanyu","2024-08-01 09:20:59","2024-08-01 09:22:13","10.35.37.0","Yes","","Yes","","Yes","","Yes","","Yes","","Yes","","Yes","","Yes",""
"9","2024-08-02 09:07:50","8","id","17780436","yusup","2024-08-02 09:05:36","2024-08-02 09:07:50","10.35.37.0","Yes","","Yes","","Yes","","Yes","","Yes","","Yes","","Yes","","Yes",""
"10","2024-08-05 14:34:17","8","id","1619936948","pandu","2024-08-05 14:33:14","2024-08-05 14:34:17","10.35.37.0","Yes","","Yes","","Yes","","Yes","","Yes","","Yes","","Yes","","Yes",""
"11","2024-08-07 10:22:51","8","id","1322582142","yusup","2024-08-07 10:19:43","2024-08-07 10:22:51","10.35.37.0","Lainnya","Suhu server di atas 25°, dari tanggal 06 Agustus 2024 sekitar jam 11.00, sekarang sedang di cek kerusakan sama teknisi AC","Yes","","Yes","","Yes","","Lainnya","AC bocor, dan sedang di cek kerusakan sama teknisi ","Yes","","Yes","","Yes",""
